image_id,identity,condition,valid,embedding_drift_cosine,embedding_drift_euclidean,error_reason
Andre_Agassi/Andre_Agassi_0003,Andre_Agassi,noise_n08_steps2,1,0.2945779562,16.9911975861,
Andre_Agassi/Andre_Agassi_0004,Andre_Agassi,noise_n08_steps2,1,0.2051801682,13.0129261017,
Andre_Agassi/Andre_Agassi_0005,Andre_Agassi,noise_n08_steps2,1,0.2178378105,14.4269199371,
Andre_Agassi/Andre_Agassi_0006,Andre_Agassi,noise_n08_steps2,1,0.1849477291,12.5319938660,
Andre_Agassi/Andre_Agassi_0007,Andre_Agassi,noise_n08_steps2,1,0.1047763228,9.3854799271,
Andre_Agassi/Andre_Agassi_0008,Andre_Agassi,noise_n08_steps2,1,0.1178863049,10.2802114487,
Andre_Agassi/Andre_Agassi_0009,Andre_Agassi,noise_n08_steps2,1,0.1271770000,10.3503847122,
Andre_Agassi/Andre_Agassi_0010,Andre_Agassi,noise_n08_steps2,1,0.1640930176,11.5906352997,
Andre_Agassi/Andre_Agassi_0011,Andre_Agassi,noise_n08_steps2,1,0.1829417944,12.8102636337,
Andre_Agassi/Andre_Agassi_0012,Andre_Agassi,noise_n08_steps2,1,0.1174404621,9.7365074158,
Andre_Agassi/Andre_Agassi_0013,Andre_Agassi,noise_n08_steps2,1,0.2065794468,12.3930625916,
Andre_Agassi/Andre_Agassi_0014,Andre_Agassi,noise_n08_steps2,1,0.1227220297,10.4164962769,
Andre_Agassi/Andre_Agassi_0015,Andre_Agassi,noise_n08_steps2,1,0.1303353310,9.7703266144,
Andre_Agassi/Andre_Agassi_0016,Andre_Agassi,noise_n08_steps2,1,0.1525815129,10.5409536362,
Andre_Agassi/Andre_Agassi_0017,Andre_Agassi,noise_n08_steps2,1,0.1040768027,9.3379716873,
Andre_Agassi/Andre_Agassi_0018,Andre_Agassi,noise_n08_steps2,1,0.1426313519,11.7309665680,
Andre_Agassi/Andre_Agassi_0019,Andre_Agassi,noise_n08_steps2,1,0.1137894988,10.4995870590,
Andre_Agassi/Andre_Agassi_0020,Andre_Agassi,noise_n08_steps2,1,0.1429359913,11.8094682693,
Andre_Agassi/Andre_Agassi_0021,Andre_Agassi,noise_n08_steps2,1,0.1306612492,11.2241649628,
Andre_Agassi/Andre_Agassi_0022,Andre_Agassi,noise_n08_steps2,1,0.1212452650,10.1420860291,
Andre_Agassi/Andre_Agassi_0023,Andre_Agassi,noise_n08_steps2,1,0.1113196015,9.5429611206,
Andre_Agassi/Andre_Agassi_0024,Andre_Agassi,noise_n08_steps2,1,0.1324483156,10.3696384430,
Andre_Agassi/Andre_Agassi_0025,Andre_Agassi,noise_n08_steps2,1,0.1384462714,10.5564413071,
Andre_Agassi/Andre_Agassi_0026,Andre_Agassi,noise_n08_steps2,1,0.1583755016,12.5176219940,
Andre_Agassi/Andre_Agassi_0027,Andre_Agassi,noise_n08_steps2,1,0.1223850250,9.5239353180,
Andre_Agassi/Andre_Agassi_0028,Andre_Agassi,noise_n08_steps2,1,0.1091893911,8.9139766693,
Andre_Agassi/Andre_Agassi_0029,Andre_Agassi,noise_n08_steps2,1,0.1579943895,10.9636220932,
Andre_Agassi/Andre_Agassi_0030,Andre_Agassi,noise_n08_steps2,1,0.1373322606,10.3445625305,
Andre_Agassi/Andre_Agassi_0031,Andre_Agassi,noise_n08_steps2,1,0.1156950593,9.4081277847,
Andre_Agassi/Andre_Agassi_0032,Andre_Agassi,noise_n08_steps2,1,0.1544787884,10.8329391479,
Andre_Agassi/Andre_Agassi_0033,Andre_Agassi,noise_n08_steps2,1,0.1518397331,11.4277420044,
Andre_Agassi/Andre_Agassi_0034,Andre_Agassi,noise_n08_steps2,1,0.1936192513,11.9942541122,
Andre_Agassi/Andre_Agassi_0035,Andre_Agassi,noise_n08_steps2,1,0.1166491508,9.4135656357,
Andre_Agassi/Andre_Agassi_0036,Andre_Agassi,noise_n08_steps2,1,0.1634681225,11.4355049133,
Andy_Roddick/Andy_Roddick_0001,Andy_Roddick,noise_n08_steps2,1,0.2007552385,13.5694093704,
Andy_Roddick/Andy_Roddick_0002,Andy_Roddick,noise_n08_steps2,1,0.0745515823,8.7927560806,
Andy_Roddick/Andy_Roddick_0003,Andy_Roddick,noise_n08_steps2,1,0.1254501343,10.9078435898,
Andy_Roddick/Andy_Roddick_0004,Andy_Roddick,noise_n08_steps2,1,0.1745144725,11.4244070053,
Andy_Roddick/Andy_Roddick_0005,Andy_Roddick,noise_n08_steps2,1,0.1224534512,11.3912115097,
Andy_Roddick/Andy_Roddick_0006,Andy_Roddick,noise_n08_steps2,1,0.0974658132,8.7246170044,
Andy_Roddick/Andy_Roddick_0007,Andy_Roddick,noise_n08_steps2,1,0.1092911959,9.8010396957,
Andy_Roddick/Andy_Roddick_0008,Andy_Roddick,noise_n08_steps2,1,0.1180181503,10.0849580765,
Andy_Roddick/Andy_Roddick_0009,Andy_Roddick,noise_n08_steps2,1,0.1545709372,11.7287654877,
Andy_Roddick/Andy_Roddick_0010,Andy_Roddick,noise_n08_steps2,1,0.1136231422,10.0628700256,
Andy_Roddick/Andy_Roddick_0011,Andy_Roddick,noise_n08_steps2,1,0.1409353018,10.7585678101,
Andy_Roddick/Andy_Roddick_0012,Andy_Roddick,noise_n08_steps2,1,0.1610515118,11.7914686203,
Andy_Roddick/Andy_Roddick_0013,Andy_Roddick,noise_n08_steps2,1,0.2307898998,12.6852951050,
Andy_Roddick/Andy_Roddick_0014,Andy_Roddick,noise_n08_steps2,1,0.1193889380,10.8273029327,
Andy_Roddick/Andy_Roddick_0015,Andy_Roddick,noise_n08_steps2,1,0.2002129555,14.1695098877,
Angelina_Jolie/Angelina_Jolie_0001,Angelina_Jolie,noise_n08_steps2,1,0.1237218380,10.6673631668,
Angelina_Jolie/Angelina_Jolie_0002,Angelina_Jolie,noise_n08_steps2,1,0.2313945293,14.6740398407,
Angelina_Jolie/Angelina_Jolie_0003,Angelina_Jolie,noise_n08_steps2,1,0.1608379483,12.0571765900,
Angelina_Jolie/Angelina_Jolie_0004,Angelina_Jolie,noise_n08_steps2,1,0.2132455707,14.3635463715,
Angelina_Jolie/Angelina_Jolie_0005,Angelina_Jolie,noise_n08_steps2,1,0.1319006085,11.7179517746,
Angelina_Jolie/Angelina_Jolie_0006,Angelina_Jolie,noise_n08_steps2,1,0.2006508112,13.9044780731,
Angelina_Jolie/Angelina_Jolie_0007,Angelina_Jolie,noise_n08_steps2,1,0.1674543619,12.3603630066,
Angelina_Jolie/Angelina_Jolie_0008,Angelina_Jolie,noise_n08_steps2,1,0.1748248339,12.6689062119,
Angelina_Jolie/Angelina_Jolie_0009,Angelina_Jolie,noise_n08_steps2,1,0.1406999826,11.6312198639,
Angelina_Jolie/Angelina_Jolie_0010,Angelina_Jolie,noise_n08_steps2,1,0.1231861115,11.0797100067,
Angelina_Jolie/Angelina_Jolie_0011,Angelina_Jolie,noise_n08_steps2,1,0.2095766068,14.2277469635,
Angelina_Jolie/Angelina_Jolie_0012,Angelina_Jolie,noise_n08_steps2,1,0.1555844545,12.3140850067,
Angelina_Jolie/Angelina_Jolie_0013,Angelina_Jolie,noise_n08_steps2,1,0.1535284519,12.0145912170,
Angelina_Jolie/Angelina_Jolie_0014,Angelina_Jolie,noise_n08_steps2,1,0.1444308758,12.1890277863,
Angelina_Jolie/Angelina_Jolie_0015,Angelina_Jolie,noise_n08_steps2,1,0.1467158794,12.5798902512,
Angelina_Jolie/Angelina_Jolie_0016,Angelina_Jolie,noise_n08_steps2,1,0.2118144035,14.0923442841,
Angelina_Jolie/Angelina_Jolie_0017,Angelina_Jolie,noise_n08_steps2,1,0.1832789779,12.6489028931,
Angelina_Jolie/Angelina_Jolie_0018,Angelina_Jolie,noise_n08_steps2,1,0.1161590219,10.8720226288,
Angelina_Jolie/Angelina_Jolie_0019,Angelina_Jolie,noise_n08_steps2,1,0.1793534756,12.2441968918,
Angelina_Jolie/Angelina_Jolie_0020,Angelina_Jolie,noise_n08_steps2,1,0.1891259551,13.2823076248,
Ann_Veneman/Ann_Veneman_0001,Ann_Veneman,noise_n08_steps2,1,0.1175635457,10.3721132278,
Ann_Veneman/Ann_Veneman_0002,Ann_Veneman,noise_n08_steps2,1,0.1372898817,11.1326723099,
Ann_Veneman/Ann_Veneman_0003,Ann_Veneman,noise_n08_steps2,1,0.0908245444,9.3981056213,
Ann_Veneman/Ann_Veneman_0004,Ann_Veneman,noise_n08_steps2,1,0.0959634781,10.3316011429,
Ann_Veneman/Ann_Veneman_0005,Ann_Veneman,noise_n08_steps2,1,0.1546580791,12.3240842819,
Ann_Veneman/Ann_Veneman_0006,Ann_Veneman,noise_n08_steps2,1,0.1118724346,10.6203317642,
Ann_Veneman/Ann_Veneman_0007,Ann_Veneman,noise_n08_steps2,1,0.1047743559,9.8815555573,
